Area Unit,Area Unit Code,Census Year,Measure,Sex,Value,Value Unit,Value Label,Null Reason
Awanui,Awanui,2001,Census usually resident population count,Total people,369,number,Number of people,
Awanui,Awanui,2006,Census usually resident population count,Total people,348,number,Number of people,
Awanui,Awanui,2013,Census usually resident population count,Total people,339,number,Number of people,
Awanui,Awanui,2001,Census night population count,Total people,405,number,Number of people,
Awanui,Awanui,2006,Census night population count,Total people,360,number,Number of people,
Awanui,Awanui,2013,Census night population count,Total people,342,number,Number of people,
Awanui,Awanui,2001,Sex for the census usually resident population count,Male,183,number,Number of people,
Awanui,Awanui,2001,Sex for the census usually resident population count,Female,186,number,Number of people,
Awanui,Awanui,2001,Sex for the census usually resident population count,Total people,369,number,Number of people,
Awanui,Awanui,2006,Sex for the census usually resident population count,Male,165,number,Number of people,
Awanui,Awanui,2006,Sex for the census usually resident population count,Female,186,number,Number of people,
Awanui,Awanui,2006,Sex for the census usually resident population count,Total people,348,number,Number of people,
Awanui,Awanui,2013,Sex for the census usually resident population count,Male,156,number,Number of people,
Awanui,Awanui,2013,Sex for the census usually resident population count,Female,180,number,Number of people,
Awanui,Awanui,2013,Sex for the census usually resident population count,Total people,339,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2001,Census usually resident population count,Total people,4275,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2006,Census usually resident population count,Total people,4233,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2013,Census usually resident population count,Total people,4344,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2001,Census night population count,Total people,4362,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2006,Census night population count,Total people,4371,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2013,Census night population count,Total people,4464,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2001,Sex for the census usually resident population count,Male,2130,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2001,Sex for the census usually resident population count,Female,2148,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2001,Sex for the census usually resident population count,Total people,4278,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2006,Sex for the census usually resident population count,Male,2151,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2006,Sex for the census usually resident population count,Female,2079,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2006,Sex for the census usually resident population count,Total people,4230,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2013,Sex for the census usually resident population count,Male,2172,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2013,Sex for the census usually resident population count,Female,2175,number,Number of people,
Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,2013,Sex for the census usually resident population count,Total people,4344,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2001,Census usually resident population count,Total people,1587,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2006,Census usually resident population count,Total people,1569,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2013,Census usually resident population count,Total people,1662,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2001,Census night population count,Total people,1695,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2006,Census night population count,Total people,1923,number,Number of people,
